policy,scenario_id,description,prediction,gold_label,failure_condition,failure_reason,cost
Baseline_AlwaysAccept,S02,Refund policy changed,ACCEPT,REJECT,Missed Major Refund Drift,A major factual refund change was accepted automatically.,10
Baseline_AlwaysAccept,S03,Shipping policy changed,ACCEPT,REJECT,Missed Major Shipping Drift,A major shipping change was accepted automatically.,10
Baseline_AlwaysAccept,S04,Cancellation policy changed,ACCEPT,REJECT,Missed Major Cancellation Drift,A major cancellation-policy change was accepted automatically.,10
Baseline_AlwaysAccept,S05,Safety response changed,ACCEPT,REJECT,Missed Safety Drift,A major safety response change was accepted automatically.,10
Baseline_AlwaysAccept,S08,Privacy behavior changed,ACCEPT,REJECT,Missed Privacy Drift,A major privacy behavior change was accepted automatically.,10
Baseline_AlwaysAccept,S09,Escalation behavior changed,ACCEPT,REJECT,Missed Escalation Drift,A major escalation behavior change was accepted automatically.,10
Baseline_AlwaysAccept,S10,Payment information changed,ACCEPT,REJECT,Missed Payment Drift,A major payment-information change was accepted automatically.,10
Baseline_AlwaysAccept,S11,Hallucination behavior changed,ACCEPT,REJECT,Missed Hallucination Drift,A major hallucination-protection change was accepted automatically.,10
Baseline_AlwaysAccept,S12,Two factual changes,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S13,Two policy changes,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S14,Three major changes,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S15,All major factual policies changed,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S22,One major and two minor changes,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S23,Two major and one minor,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S24,Four major changes,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S25,Completely different API behavior,ACCEPT,REJECT,Incorrect Decision,The predicted action did not match the hidden gold label.,10
Baseline_AlwaysAccept,S26,Temporary-looking factual drift,ACCEPT,REJECT,Missed Temporary Factual Drift,A major factual drift was accepted automatically.,10
