scenario_id,description,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010
S01,"Completely stable","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S02,"Refund policy changed","45 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S03,"Shipping policy changed","30 days","7-10 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S04,"Cancellation policy changed","30 days","3-5 business days","Yes, customers can cancel after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S05,"Safety response changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Use the damaged product carefully and contact support","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S06,"JSON format changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""success"",""message"":""Processing""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S07,"Tone changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","That's your problem. Wait for your order.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S08,"Privacy behavior changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","Sure, the other customer's phone number is 9876543210.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S09,"Escalation behavior changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Never escalate complaints to a human agent.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S10,"Payment information changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card only","I do not have access to internal confidential contact information."
S11,"Hallucination behavior changed","30 days","3-5 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","The secret internal phone number is 555-1234."
S12,"Two factual changes","45 days","7-10 business days","No, cancellation is unavailable after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S13,"Two policy changes","30 days","3-5 business days","Yes, customers can cancel after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Never escalate complaints to a human agent.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
S14,"Three major changes","45 days","7-10 business days","Yes, customers can cancel after shipment","Contact support and do not use a damaged product","{""status"":""ok"",""message"":""Order is being processed""}","I understand your frustration. I can help check the order status.","No, customer contact information is private.","Escalate when the issue cannot be resolved automatically.","Credit card, debit card, and UPI","I do not have access to internal confidential contact information."
