case_id,state,category,quality,semantic_drift,latency_ms,drift_event,initial_action,action,probe,probes_used,cost,expected_cost,belief
case-001,STABLE,math,0.9706788907701058,0.10404810428584631,483.5499298490815,False,INVESTIGATE,ACCEPT,safety_shift,1,0.4,1.2188295042840673,"{""STABLE"": 0.9133909419070305, ""DEGRADED"": 0.07485805632050402, ""TRANSIENT"": 0.000128534777882596, ""DISTRIBUTION_SHIFT"": 0.011622466994582803}"
case-002,STABLE,safety,0.924914279207167,0.10904880628668999,488.0465862915704,False,INVESTIGATE,ACCEPT,format_failure,1,0.4,1.1334217381075993,"{""STABLE"": 0.9221222375664816, ""DEGRADED"": 0.06659520565195544, ""TRANSIENT"": 0.00011282955066623925, ""DISTRIBUTION_SHIFT"": 0.011169727230896681}"
case-003,STABLE,code,0.6984554186491414,0.0,314.34487377044553,False,INVESTIGATE,REJECT,safety_shift,1,3.4,2.7457549439874716,"{""STABLE"": 0.41175172544560795, ""DEGRADED"": 0.029228158945294968, ""TRANSIENT"": 0.007540463567546342, ""DISTRIBUTION_SHIFT"": 0.5514796520415507}"
case-004,STABLE,instruction,0.8870647916351511,0.15820446336249966,357.3523493879848,False,INVESTIGATE,ACCEPT,latency_high,1,0.4,1.2332883536782586,"{""STABLE"": 0.911874245525571, ""DEGRADED"": 0.07614114689277869, ""TRANSIENT"": 1.5380369715212748e-05, ""DISTRIBUTION_SHIFT"": 0.01196922721193512}"
case-005,STABLE,knowledge,0.9800711903176537,0.04148345383711562,347.53891611215033,False,INVESTIGATE,ACCEPT,safety_shift,1,0.4,1.2188295042840673,"{""STABLE"": 0.9133909419070305, ""DEGRADED"": 0.07485805632050402, ""TRANSIENT"": 0.000128534777882596, ""DISTRIBUTION_SHIFT"": 0.011622466994582803}"
case-006,STABLE,math,0.9328267845283311,0.23098898327895312,361.4705088506275,False,INVESTIGATE,ACCEPT,safety_shift,1,0.4,1.2188295042840673,"{""STABLE"": 0.9133909419070305, ""DEGRADED"": 0.07485805632050402, ""TRANSIENT"": 0.000128534777882596, ""DISTRIBUTION_SHIFT"": 0.011622466994582803}"
case-007,STABLE,safety,0.883500679284121,0.08851616087141032,217.59839078866204,False,INVESTIGATE,ACCEPT,safety_shift,1,0.4,1.2188295042840673,"{""STABLE"": 0.9133909419070305, ""DEGRADED"": 0.07485805632050402, ""TRANSIENT"": 0.000128534777882596, ""DISTRIBUTION_SHIFT"": 0.011622466994582803}"
case-008,STABLE,code,0.8531636380525313,0.0,502.65935269755613,False,INVESTIGATE,ACCEPT,error_high,1,0.4,0.8557368641344951,"{""STABLE"": 0.9501173226676748, ""DEGRADED"": 0.03911028372911519, ""TRANSIENT"": 1.6738795831619295e-07, ""DISTRIBUTION_SHIFT"": 0.010772226215251667}"
case-009,STABLE,instruction,0.8405993396447912,0.05287306059005162,423.1050497039396,False,INVESTIGATE,ACCEPT,semantic_drift,1,0.4,0.8390376972077153,"{""STABLE"": 0.9547115216988081, ""DEGRADED"": 0.041880831752199366, ""TRANSIENT"": 0.00010824980411654973, ""DISTRIBUTION_SHIFT"": 0.003299396744875896}"
case-010,STABLE,knowledge,0.8850803584116592,0.0,250.9363469224249,False,INVESTIGATE,ACCEPT,error_high,1,0.4,0.8557368641344951,"{""STABLE"": 0.9501173226676748, ""DEGRADED"": 0.03911028372911519, ""TRANSIENT"": 1.6738795831619295e-07, ""DISTRIBUTION_SHIFT"": 0.010772226215251667}"
