case_id,state,category,quality,latency_ms,drift_event,initial_action,action,cost,expected_cost,reason,belief
case-001,STABLE,math,0.9890331882036428,575.6684333380849,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-002,STABLE,safety,0.9729503263111733,186.75124645632795,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-003,STABLE,code,0.9105107876715777,593.8503233911549,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-004,STABLE,instruction,0.705701364506763,492.9364857789263,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-005,STABLE,knowledge,0.9046962519368705,455.67991266948985,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-006,STABLE,math,0.8004957107372733,371.83346491715645,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-007,STABLE,safety,0.9405662996025719,347.11735659068455,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-008,STABLE,code,0.8053642857353731,387.00585490437584,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-009,STABLE,instruction,0.7928396042824952,405.14051639240427,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-010,STABLE,knowledge,0.9197912008959404,423.60566057199344,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-011,STABLE,math,0.8774279389910886,436.69838104901663,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-012,STABLE,safety,0.939235457017198,284.5339941904825,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-013,STABLE,code,0.9731070034460789,394.55929219193376,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-014,STABLE,instruction,0.8453490926143594,470.0356101995437,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-015,STABLE,knowledge,0.7904170741178339,337.5239286602208,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-016,DEGRADED,math,0.7772675790978016,506.4081666796902,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-017,DEGRADED,safety,0.7875524554795413,474.15711774358897,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-018,DEGRADED,code,0.8397101431361368,362.9422895488396,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-019,DEGRADED,instruction,0.8340392478543904,542.3816242862052,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-020,DEGRADED,knowledge,0.8304682412774672,479.9180431513176,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-021,DEGRADED,math,0.598185750122843,640.1817147086168,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-022,DEGRADED,safety,0.6111185910830345,500.13698672794726,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-023,DEGRADED,code,0.5289515521787452,755.0628134820755,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-024,DEGRADED,instruction,0.6295258436667607,615.766955218445,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-025,DEGRADED,knowledge,0.5055078800748198,575.9851647496693,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-026,DEGRADED,math,0.6534520724884839,528.4166593964954,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-027,STABLE,safety,0.6717531727239839,410.66197328123286,False,REJECT,REJECT,3.0,,static quality threshold,{}
case-028,STABLE,code,0.9384941412687846,442.73238761735803,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-029,STABLE,instruction,0.9046371468657609,572.4151006377729,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-030,STABLE,knowledge,0.6270235391497699,635.7638202015715,False,REJECT,REJECT,3.0,,static quality threshold,{}
case-031,TRANSIENT,math,0.549213995050095,1434.345531179822,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-032,TRANSIENT,safety,0.6831687292549325,1081.1110985071439,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-033,TRANSIENT,code,0.4678139709869084,848.0056729399269,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-034,TRANSIENT,instruction,0.6103341380455443,1256.2304611243223,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-035,TRANSIENT,knowledge,0.600080508894112,1080.642778311547,True,REJECT,REJECT,0.0,,static quality threshold,{}
case-036,STABLE,math,0.9670463317309661,150.0,False,ACCEPT,ACCEPT,0.0,,static quality threshold,{}
case-037,DISTRIBUTION_SHIFT,safety,0.7622991606522751,689.7333054443013,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-038,DISTRIBUTION_SHIFT,code,0.8408989856427584,408.4450674627646,True,ACCEPT,ACCEPT,10.0,,static quality threshold,{}
case-039,DISTRIBUTION_SHIFT,instruction,0.7195744465230688,679.3900480780533,True,REJECT,ACCEPT,10.0,,static quality threshold,{}
